“sample”,”error_0","error_1_e_minus_5","error_1_e_minus_4","error_1_e_minus_3","error_1_e_minus_2","error_1_e_minus_1","error_2_e_minus_1","error_3_e_minus_1","error_4_e_minus_1","error_5_e_minus_1","error_6_e_minus_1","error_7_e_minus_1","error_8_e_minus_1"
"182",56,57,45,71,111,387,941,1260,1786,2765,3525,5660,9242
"183",32,57,59,86,106,423,895,1191,1755,2402,3825,5447,9205
"184",35,82,70,86,118,502,887,1198,1782,2510,3473,5606,9685
"185",38,48,54,85,115,495,858,1323,1696,2609,3783,5582,9227
"186",40,46,59,86,129,394,862,1214,1680,2586,3623,5674,9383
"187",33,44,71,99,128,475,892,1207,1677,2545,3687,5562,9336
"188",37,49,72,52,119,463,791,1192,1701,2513,3840,5410,9558
"189",36,53,59,58,134,404,785,1225,1782,2658,3876,5887,9998
"190",38,51,70,60,128,428,693,1167,1764,2598,3651,5304,8950
"191",39,56,82,61,148,440,764,1172,1725,2472,3611,6397,9251
"192",34,56,44,51,140,372,830,1252,1692,2661,3808,5790,9140
"193",27,63,45,79,129,447,747,1109,1748,2709,3531,5309,8770
"194",31,70,47,60,111,400,728,1394,1903,2796,3619,5359,9297
"195",34,44,45,76,116,445,750,1205,1894,2663,3736,5489,10035
"196",30,47,29,64,114,400,928,1185,1692,2541,3743,5969,9561
"197",34,52,51,62,127,486,837,1267,1832,2470,3479,5649,9383
"198",33,48,40,67,146,406,802,1211,1858,2666,3558,5652,9395
"199",34,56,37,68,136,454,759,1234,1850,2452,3668,5346,9497
"200",33,57,52,68,122,412,797,1094,1720,2612,3885,5681,9264
"201",37,46,59,80,127,461,779,1286,1770,2591,3505,5727,8970
"202",37,41,63,65,142,401,772,1158,1634,2716,3579,5627,9449
"203",33,55,45,69,114,394,693,1155,1682,2488,3494,5626,8906
"204",37,44,41,75,112,424,784,1044,1828,2615,3497,5529,9586
"205",34,46,57,82,108,464,781,1159,1586,2631,3448,5588,9540
"206",37,44,67,56,120,450,756,1117,1778,2403,3550,5468,8900
"207",58,39,50,70,95,375,738,1209,1745,2344,3675,5744,9645
"208",37,45,57,89,112,340,895,1259,1682,2474,3594,5320,9421
"209",39,61,43,54,133,435,781,1243,1778,2383,3713,5201,8774
"210",39,36,53,72,111,466,838,1255,1669,2464,3580,5250,9123
"211",36,34,57,58,141,448,758,1325,1884,2519,3612,5807,9301
"212",35,34,59,75,107,423,739,1125,1755,2595,3742,5473,8901
"213",38,36,64,79,122,410,810,1227,1820,2461,3739,5421,9297
"214",31,55,67,66,117,426,785,1237,1846,2435,3745,5841,9392
"215",28,40,67,69,150,414,723,1163,1804,2542,3825,5544,9067
"216",34,36,50,79,124,458,840,1360,1765,2450,3773,5343,10207
"217",27,32,42,80,136,449,845,1188,1740,2570,3819,5653,9138
"218",32,32,60,85,121,461,889,1230,1797,2625,3857,5139,9433
"219",28,35,67,71,121,396,842,1145,1646,2518,3646,5478,9110
"220",25,40,60,72,116,382,736,1221,1691,2476,3594,5628,9313
"221",27,61,75,85,112,459,736,1150,1781,2511,3698,5410,9601
"222",30,32,36,75,164,461,780,1240,1726,2457,3523,5883,9420
"223",32,36,32,86,121,444,813,1141,1703,2434,3467,5992,9529
"224",33,51,45,54,121,378,793,1223,1747,2824,3559,5207,9852
"225",36,46,63,64,115,463,864,1235,1736,2612,3597,5536,8931
"226",36,54,67,68,101,476,825,1119,1873,2464,3648,5389,9174
"227",38,54,53,75,98,459,864,1247,1760,2315,3770,5386,9700
"228",39,48,64,59,148,413,793,1247,1803,2490,4003,5600,9689
"229",39,50,56,62,123,351,755,1274,1680,2361,3619,5620,9374
"230",40,51,50,57,97,452,785,1156,1919,2441,3563,5765,8983
"231",39,74,69,78,129,453,791,1277,1686,2456,3920,5254,8982
"232",61,73,83,66,124,385,780,1134,1634,2408,3549,5472,9510
"233",31,32,56,65,108,386,862,1273,1879,2349,3993,5478,9182
"234",39,34,60,67,116,435,762,1249,1622,2465,3554,5498,9161
"235",32,33,67,67,132,383,799,1161,1656,2608,3565,5404,8942
"236",32,37,64,70,113,392,720,1245,1789,2356,3795,5599,9017
"237",33,40,82,69,122,416,786,1307,1575,2458,3549,5433,9307
"238",27,42,55,69,102,404,750,1143,1750,2681,3735,5370,9282
"239",27,82,43,74,108,405,784,1145,1847,2410,3911,5892,9014
"240",33,60,47,90,112,427,761,1215,1802,2367,3706,5996,9343
"241",32,48,62,74,128,408,796,1169,1715,2622,3642,5867,9158
"242",36,78,65,51,122,389,805,1163,1682,2580,3639,5550,9646
"243",35,40,42,47,121,359,789,1236,1878,2339,3452,5617,9629
"244",30,36,54,65,114,462,768,1125,1669,2435,3738,5610,9029
"245",39,40,60,54,127,401,895,1271,1824,2437,3584,5546,9503
"246",36,45,70,56,129,379,937,1157,1786,2403,3866,5425,9154
"247",33,40,56,59,101,419,823,1153,1810,2592,3503,5565,9324
"248",32,63,65,65,91,403,853,1112,1752,2701,3732,5516,9442
"249",34,58,58,66,120,333,746,1208,1607,2673,3612,5725,8889
"250",37,33,55,58,112,394,765,1165,1692,2369,3678,5698,9485
"251",40,60,73,70,117,446,751,1318,1874,2488,3675,5682,9499
"252",41,46,69,77,145,405,790,1160,1763,2533,3826,5582,9248
"253",42,41,52,58,130,430,805,1197,1764,2597,3711,5368,9442
"254",37,40,45,49,114,404,728,1176,1689,2535,3739,5655,8905
"255",28,41,48,68,128,372,773,1221,1635,2541,3671,5391,9436
"256",30,61,66,56,95,353,745,1271,1739,2396,3684,5707,8929
"257",32,75,68,56,154,338,809,1194,1838,2581,3569,5319,9189
"258",31,45,60,62,152,415,779,1258,1940,2466,3559,5495,9634
"259",33,48,65,66,104,412,813,1140,1727,2722,4115,5862,9637
"260",30,37,68,65,117,398,783,1162,1709,2398,3589,5479,9161
"261",34,43,70,66,107,354,805,1169,2000,2492,3755,5230,9924
"262",37,38,70,61,113,411,776,1321,1732,2451,3575,5267,9141
"263",36,42,33,69,124,456,708,1191,1727,2598,3695,5462,8979
"264",36,51,49,66,124,367,763,1219,1714,2524,3866,5837,9403
"265",40,55,52,69,118,425,715,1215,1729,2312,3680,5607,9242
"266",54,52,64,71,114,452,765,1295,1606,2690,3610,5460,9430
"267",30,53,71,80,145,453,851,1176,1594,2261,3702,5609,8740
"268",30,51,71,85,121,426,730,1352,1662,2619,3705,5801,9389
"269",26,58,49,73,142,331,815,1194,1603,2948,3560,5466,9611
"270",30,71,44,97,107,490,798,1255,1645,2550,3625,5520,9753
"271",41,31,54,66,106,407,845,1154,1780,2522,3586,5258,8937
"272",41,32,56,56,112,427,829,1287,1658,2582,3609,5455,8940
"273",39,33,44,55,136,517,740,1278,1756,2575,3959,5561,9329
"274",34,37,51,59,111,440,768,1215,1789,2471,3537,5539,9293
"275",39,39,46,70,138,395,735,1190,1646,2648,3524,5639,9690
"276",37,42,59,48,108,369,785,1213,1850,2440,3726,5438,9583
"277",26,57,74,75,100,406,877,1186,2136,2575,3864,5579,9294
"278",27,62,65,66,123,373,760,1164,1982,2377,3875,5700,9930
"279",31,58,46,67,107,396,778,1319,1873,2294,3763,5570,9945
"280",33,62,55,64,140,470,814,1152,1733,2468,3394,5363,9371
"281",33,73,58,62,159,402,769,1144,1738,2498,3822,5722,9459
"282",33,36,58,74,94,395,753,1098,1768,2473,3877,5512,9209
"283",35,35,55,57,111,415,894,1125,1848,2589,3918,5425,9372
"284",35,50,64,60,101,371,747,1233,1752,2313,3499,5762,9655
"285",34,53,50,61,109,405,712,1076,1821,2637,3794,5438,9458
"286",35,55,63,75,142,458,838,1257,1766,2605,3685,5954,9362
"287",36,57,66,81,107,448,834,1247,1737,2467,3416,5812,9655
"288",39,54,54,47,83,474,869,1176,1914,2361,3695,5554,9455
"289",36,50,53,46,92,445,849,1260,1672,2425,3518,5513,9240
"290",37,57,54,53,111,438,801,1198,1750,2312,3723,5234,9654
"291",60,67,62,63,124,343,782,1323,1876,2625,3849,5823,9151
"292",29,37,46,51,137,368,771,1279,1778,2256,3829,5640,9743
"293",33,36,56,75,132,405,850,1276,1805,2494,3914,5745,9369
"294",34,43,61,59,113,426,732,1194,1627,2319,3682,5673,9807
"295",36,46,65,60,117,446,788,1298,1613,2421,3675,5320,9618
"296",38,30,66,65,106,447,778,1148,1848,2552,3629,5448,8588
"297",37,38,69,70,100,448,707,1096,1811,2569,3578,5511,9624
"298",28,45,70,85,120,450,848,1084,1839,2329,3683,5218,9248
"299",26,42,57,68,127,404,774,1196,1711,2523,3806,5538,9768
"300",34,41,69,71,98,413,758,1152,1841,2390,3392,6304,9062
"301",32,48,59,79,116,393,843,1141,1830,2504,3910,5444,8926
"302",33,48,64,70,128,463,725,1170,1743,2369,3443,5652,9834
"303",31,62,32,70,106,419,851,1221,1675,2576,3716,5620,8869
"304",31,54,32,94,129,396,656,1205,1745,2631,3523,5509,9299
"305",28,52,37,97,149,376,790,1144,1627,2477,3725,5708,9125
